 191/2018; 7.190/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 28/2017; 583/2017; ;Mesa Diretora (ITAMAR ANTONIO AGNOLETTO, MARCILEI ANDREA P. VIGNATTI, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 52/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 112/2019; 661/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 70/2017; 2/2017; ;Mesa Diretora (MARCILEI ANDREA P. VIGNATT;I, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 104/2017; 3/2017; ;Mesa Diretora (MARCILEI ANDREA P. VIGNATT;I, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 107/2018; 2/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 127/2018; 1/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 113/2019; 2/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 14/2017; 1/2017; ;Mesa Diretora (ITAMAR ANTONIO AGNOLETTO, MARCILEI ANDREA P. VIGNATTI, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 15/2017; 2/2017; ;Mesa Diretora (ITAMAR ANTONIO AGNOLETTO, MARCILEI ANDREA P. VIGNATTI, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 19/2017; 4/2017; ;Mesa Diretora (ITAMAR ANTONIO AGNOLETTO, MARCILEI ANDREA P. VIGNATTI, VALDEMIR ANTONIO STOBE, VALMOR JÚNIOR SCOLARI). 
 137/2018; 1/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 143/2018; 2/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 144/2018; 3/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 179/2018; 4/2018; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 61/2019; 1/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 64/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 68/2019; 2/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 104/2019; 3/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 109/2019; 5/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 110/2019; 4/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 144/2019; 6/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 183/2019; 7/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
 184/2019; 8/2019; ;Mesa Diretora (CLEBER CECCON, ILDO ADÃO ANTONINI, VALDEMIR ANTONIO STOBE, DIEGO FERNANDO ALVES). 
